STOCK_CODE,TOTAL_STOCK,INCOMING_QTY_AVAILABLE,DUE_DATE,DISCONTINUED
401-NAT-170X120,0,0,,Y
401-NAT-200X200,0,0,,Y
401-NAT-230X160,0,0,,Y
401-NAT-290X200,0,0,,Y
401-NAT-300X80,0,0,,Y
401-NAT-320X230,0,0,,Y
401-NAT-400X80,0,0,,Y
401-OATMEAL-165X115,17,0,,
401-OATMEAL-225X155,28,0,,
401-OATMEAL-280X190,16,0,,
401-OATMEAL-300X80,11,0,,
401-OATMEAL-320X230,20,0,,
401-OATMEAL-400X80,6,0,,
401-PETROL-165X115,0,10,21/08/2018,
401-PETROL-225X155,3,9,21/08/2018,
401-PETROL-280X190,2,10,21/08/2018,
401-PETROL-300X80,9,0,,
401-PETROL-320X230,3,5,21/08/2018,
401-PETROL-400X80,5,6,21/08/2018,
401-PEWTER-165X115,10,0,,
401-PEWTER-225X155,31,0,,
401-PEWTER-280X190,20,0,,
401-PEWTER-300X80,14,0,,
401-PEWTER-320X230,14,0,,
401-PEWTER-400X80,14,0,,
401-RED-165X115,2,0,,
401-RED-225X155,12,0,,
401-RED-280X190,13,0,,
401-RED-300X80,4,0,,
401-RED-320X230,4,0,,
401-RED-400X80,15,0,,
401-RUST-165X115,0,0,,
401-RUST-190X190,0,0,,
401-RUST-225X155,0,0,,Y
401-RUST-280X190,0,0,,
401-SEAFOAM-165X115,7,0,,
401-SEAFOAM-225X155,18,0,,
401-SEAFOAM-280X190,13,0,,
401-SEAFOAM-300X80,10,0,,
401-SEAFOAM-320X230,8,0,,
401-SEAFOAM-400X80,10,0,,
401-SMOKE-165X115,11,0,,
401-SMOKE-225X155,30,0,,
401-SMOKE-280X190,16,0,,
401-SMOKE-300X80,13,0,,
401-SMOKE-320X230,13,0,,
401-SMOKE-400X80,13,0,,
401-TAUPE-165X115,5,0,,
401-TAUPE-225X155,17,0,,
401-TAUPE-280X190,11,0,,
401-TAUPE-300X80,11,0,,
401-TAUPE-320X230,5,0,,
401-TAUPE-400X80,8,0,,
401-WHITE-165X115,0,0,,
401-WHITE-170X120,0,0,,
401-WHITE-190X190,0,0,,
401-WHITE-225X155,0,0,,
401-WHITE-230X160,0,0,,
401-WHITE-280X190,0,0,,
401-WHITE-290X200,0,0,,
401-WHITE-300X80,0,0,,
401-WHITE-320X230,0,0,,
401-WHITE-330X240,0,0,,
401-WHITE-400X80,0,0,,
402-ANT-165X115,0,0,,
402-ANT-225X155,0,0,,
402-ANT-280X190,0,0,,
402-CHOC-165X115,0,0,,
402-CHOC-225X155,0,0,,
402-CHOC-280X190,0,0,,
402-MOSS-165X115,0,0,,
402-MOSS-225X155,0,0,,
402-MOSS-280X190,0,0,,
402-NAT-165X115,0,0,,
402-NAT-225X155,0,0,,
402-NAT-280X190,0,0,,
402-RED-165X115,0,0,,
402-RED-225X155,0,0,,
402-RED-280X190,0,0,,Y
402-WHITE-165X115,0,0,,Y
402-WHITE-225X155,0,0,,Y
402-WHITE-280X190,0,0,,Y
403-AUBER-165X115,0,0,,Y
403-AUBER-225X155,0,0,,Y
